,AGSTATS_ID,Action,Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD
5,35,ok,"FAO, PRESS",Italy,FAO,"Burundi, Kenya, Uganda, Tanzania, Rwanda",Regional,Africa,2011,2015,"1,000,000","Strengthening capacity of selected member countries of the East African Community in agricultural statistics for food security - Burundi, Kenya, Uganda, Tanzania and Rwanda",Capacity Development,1,GTFS/RAF/465/ITA,NA,0
25,36,ok,"FAO, PRESS",BMGF,FAO,Ethiopia,National,Africa,2011,2015,"997,295",Support for the Improvement of the Agricultural Statistics in Ethiopia,Capacity Development,1,MTF /ETH/078/BMG,NA,0
,37,added 07/03,FAO,Angola,FAO,Angola,National,Africa,2008,2016,"1,917,439","National Forestry Resources Assessment: Building Partnerships, National Capacity and Institutional Strengthening for Forest and Trees Resources Monitoring in Angola",Capacity Development,1,UTF /ANG/040/ANG,NA,0
128,38,ok,FAO,EU,FAO,Lebanon,National,Near East,2014,2016,"870,329",Support to the MoA in strengthening and modernizing the Agricultural Statistics System,Capacity Development,1,GCP /LEB/023/EC,NA,0
,39,added 07/03,FAO,EU,FAO,Global,Global,Global,2013,2017,"861,040",SIGMA: `Stimulating Innovation for Global Monitoring of Agriculture and its Impact on the Environment in support of GEOGLAM`,Capacity Development,0,GCP /GLO/449/EC,NA,NA
124,40,ok,USDA,USA,USDA,Haiti,National,LAC,2012,2017,"819,264",Technical Services Under the Economic and Food Security Program to Revitalize and Modernize the Haitian Agricultural Sector,Capacity Development,1,NA,NA,0
98,41,ok,USDA,USAID,USDA,Armenia,National,CIS,2014,2017,"800,000",Support of the Agricultural Census of Armenia,Data Collection,1,NA,NA,0
36,42,ok,USDA,USA,USDA,Rwanda,National,Africa,2014,2017,"702,000",Supporting the Development of an Agricultural Information System in Rwanda,Information System ,1,NA,NA,0
102,43,ok,"FAO, PRESS",Romania,FAO,Moldova,National,CIS,2012,2016,"669,344",Assistance to the general agricultural census of Moldova,Data Collection,1,GCP /MOL/003/ROM,NA,0
,44,added 07/03,FAO,Pakistan,FAO,Pakistan,National,Asia & Pacific,2007,2016,"1,545,216",Technical Assistance to the SUPARCO Project on Monitoring of Crops through Satellite Technology,Capacity Development,1,UTF /PAK/101/PAK,NA,NA
117,45,ok,FAO,EU,FAO,Dominican Republic,National,LAC,2015,2015,"635,324",Asistencia tecnica para apoyar las actividades del  VIII Censo Nacional Agropecuario de la Repœblica Dominicana,Data Collection,1,GCP /DOM/018/EC,NA,0
9,46,ok,PRESS ,Japan,Japan,CARD countries,Regional,Africa,2013,2016,"584,080",PROJECT ON IMPROVING FOOD SECURITY INFORMATION IN AFRICA,Information System,0,NA,NA,1
73,47,ok,PRESS ,Japan,AFSIS,AFSIS Countries,Regional,Asia & Pacific,2013,2015,"577,372",PROJECT ON DEVELOPMENT OF MID-LONG TERM FOOD SUPPLY AND DEMAND FORECASTING IN ASEAN+3 REGION,Information System,0,NA,NA,0
94,48,ok,ADB,ADB,ADB,"Bhutan, Lao PDR, Maldives, Philippines, Viet Nam, ",Regional,Asia & Pacific,2011,2015,"500,000",Regional Policy & Advisory Technical Assistance (R-PATA 8029) in support of the GS (Research),Capacity Development,1,NA,NA,0
,49,added 07/03,FAO,FAO,FAO,Somalia,National,Africa,2014,2016,"500,000",Jubbaland and Galmadug Fishermen and Fleet Registration,Information System,1,OSRO/SOM/418/CPF,NA,0
,50,added 07/03,FAO,FAO,FAO,Afghanistan,National,Asia & Pacific,2014,2016,"485,000",Harmonization and Finalization of Land Cover Mapping and Approaches` to Agricultural Monitoring,Capacity Development,1,TCP/AFG/3501,NA,NA
33,51,ok,"FAO, PRESS",FAO,FAO,Namibia,National,Africa,2013,2015,"478,000",Preparatory Assistance to the 2013/2014 Census of Agriculture,Data Collection,1,TCP/NAM/3402,NA,0
6,52,ok,"FAO, PRESS",FAO,FAO,Cabo Verde,National,Africa,2012,2015,"472,000",Assistance au renforcement du systeème de statistiques agricoles,Capacity Development ,1,TCP/CVI/3402,NA,0
,53,added 07/03,FAO,FAO,FAO,Regional Africa,Regional,Africa,2014,2016,"456,000",Renforcement de collecte de données des pêches en Afrique Centrale,Data Collection,0,TCP/SFC/3501,NA,NA
