Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD,Comments
PRESS ,EU,EU,Afghanistan,National,Asia & Pacific,2013,2016,"5,277,483","Afghanistan Rural Governance and Development Programme 2010 - Production of 2 consecutive rounds of the national risk and vulnerability assessment, and provision of technical support to the Central Statistics Organization done in Afghanistan",Capacity Development,1,NA,NA,0,
FAO,Germany,FAO,"Algeria, Argentina, Bhutan, Chile, Colombia, Ghana, Kyrgyzstan, Lao PDR, Morocco, Mozambique, Peru, Philippines, South Africa, Tajikistan, Thailand, Tunisia, Uruguay, Zambia",National,Global,2013,2016,"5,235,598",National Forest Monitoring and Information System for a transparent and truthful REDD-plus,Capacity Development,1,GCP /GLO/456/GER(BMU),NA,0,
GS MTE; JICA,Japan,Japan,Tanzania,National,Africa,2011,2015,"5,000,000",Agricultural Routine Data System (ARDS); Project for Capacity Development for the ASDP Monitoring and Evaluation System Phase 2,Capacity Development,1,NA,NA,0,
"FAO, PRESS",EU,FAO,Chad,National,Africa,2013,2017,"4,966,574",Appui a la mise en place d`un Syste_me d`Information durable sur la securite alimentaire et d`alerte precoce,Information System ,1,GCP /CHD/038/EC,NA,0,
"FAO, PRESS",UK,FAO,Global,Global,Global,2013,2017,"4,844,425",VoH-Voices of the Hungry - 2 (203728-101),Information System,0,GCP /GLO/450/UK,NA,1,"divide by 5 = 200,000 per country"
FAO,Norway,FAO,Global,Global,Global,2014,2017,"4,587,758","Space Data Management System (SDMS) -  Acquire, Query, Process and Deliver Earth Observation Data and Forest Information Products to Developing Countries.",Capacity Development,0,GCP /GLO/537/NOR,NA,0,"1,199,938 (AfDB); 471,000 (FAO)"
USDA,USA,USDA,Tanzania,National,Africa,2012,2022,"4,000,000",Annual Agricultural Sample Survey,Data Collection,1,NA,NA,0,
PRESS ,EU,FAO,Yemen,National,Near East,2013,2016,"3,983,006",Yemen Food Security Information System 2009,Information System ,1,NA,NA,0,removed baby budget
FAO,Ethiopia,FAO,Ethiopia,National,Africa,2014,2016,"3,915,348",Implementation of a national forest monitoring and MRV system for REDD+ readiness in Ethiopia,Information System,1,UTF /ETH/086/ETH,NA,0,
FAO,EU,FAO,Global,Global,Global,2015,2022,"3,837,719",Improving global forest management through improved global forest information,Information System,0,GCP /GLO/665/EC,NA,0,
FAO,"BMGF, UK",FAO,Regional Africa,Regional,Africa,2013,2016,"3,666,254",Global Strategy - UNECA component,Capacity Development,0,MTF /RAF/485/MUL - ECA,NA,1,
"FAO, PRESS",Multilateral,FAO,Regional Asia & Pacific,Regional,Asia & Pacific,2012,2017,"3,462,307",Asian Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RAS/372/MUL,0,1,"divide by 3 = 86,666.66"
PRESS ,EU,EU,Burundi,National,Africa,2013,2017,"2,920,871",Programme pour la Securite Alimentaire et Nutritionnelle au Burundi  ,Capacity Development,1,NA,NA,0,
PRESS ,EU,EU,Afghanistan,National,Asia & Pacific,2014,2016,"2,786,254",EU Support to Agriculture in Afghanistan in Transition,Capacity Development,1,NA,NA,0,"divide by 9 = 238,516.33"
PRESS ,EU,FAO,Tajikistan,National,CIS,2011,2015,"2,780,868",Support to Strengthening of the National Food Security Information System,Information System,1,NA,NA,0,"(5974509 in PRESS report, 4.5m euros in 2013 FPMIS doc)"
PRESS ,UK,SIAP,Regional Asia & Pacific,Regional,Asia & Pacific,2013,2017,"2,700,000",Asia-Pacific Regional Action Plan to Improve Agricultural and Rural Statistics,Capacity Development,0,NA,NA,1,
FAO,USA,FAO,Pakistan,National,Asia & Pacific,2011,2016,"2,317,617","Agricultural Information Systems - Building Provincial Capacity for Crop Estimation, Forecasting and Reporting based on the Integral Use of Remotely Sensed Data",Capacity Development,1,GCP /PAK/125/USA,NA,NA,
"FAO, PRESS","Australia, Sweden, USA",FAO,Cambodia,National,Asia & Pacific,2013,2015,"2,250,000",First National Census of Agriculture,Data Collection,1,GCP /CMB/040/MUL,0,0,divide by 5 =  200375.40
"FAO, PRESS",Japan,FAO,"Benin, Cote d'Ivoire, Ethiopia, Ghana, Kenya,
Madagascar, Nigeria, Senegal, Uganda",Regional,Africa,2013,2018,"2,146,647",Strengthening Agricultural Statistics and Food Security Information in CARD Countries through South-South Cooperation,Capacity Development ,1,GCP /INT/161/JPN,NA,1,
USDA,USAID,USDA,Georgia,National,CIS,2013,2017,"2,011,000",Georgian Agricultural Policy Initiative,Capacity Development,1,NA,NA,0,
ADB,ADB,ADB,"Lao PDR, Philippines, Thailand, Viet Nam",Regional,Asia & Pacific,2013,2016,"2,000,000",Regional Capacity Development Technical Assistance (R-CDTA 8369): Innovative Data Collection methods for Agricultural & Rural Statistics (Research),Capacity Development,1,NA,NA,0,
"FAO, PRESS",WFP,FAO,South Sudan,National,Africa,2013,2015,"1,830,540",Partnership to Stregthen the GRSS Institutional Capacity on Food Security Information Systems: A Component of the National Strategic Food Reserve,Information System ,1,OSRO/SSD/301/WFP,NA,0,
FAO,Belgium,FAO,Global,Global,Global,2013,2017,"1,800,000",FMM support to SO 1 - OO3 (MTP 2014-2017) Voices of the Hungry,Information System ,0,FMM/GLO/106/MUL,NA,1,"listed in PRESS as: flex 2008 - R4-Recensement agricole et representativite du monde rural; Agricultural Census of operators and farms - 6,633,939"
USDA,USA ,USDA,Georgia,National,CIS,2006,2016,"1,750,000",Agricultural Statistical Data Collection and Analysis Project,Capacity Development,1,NA,NA,0,
AfDB,"AfDB, FAO",AfDB,Cabo Verde,National,Africa,2014,2016,"1,670,938",Recensement Gânâral de l?Agriculture (RGA) 2014-2016,Data Collection,1,NA,NA,0,
"FAO, PRESS",USAID,FAO,Cambodia,National,Asia & Pacific,2013,2015,"1,500,000",Agricultural Census (USAID Contribution),Data Collection,1,GCP /CMB/040/MUL BABY01,1,0,
FAO,Multilateral,FAO,Regional Asia & Pacific,Regional,Asia & Pacific,2013,2017,"1,259,984",Global Strategy - UNESCAP component,Capacity Development,0,MTF /RAS/485/MUL - ESCA,NA,1,
PRESS ,Sweden,FAO,Cambodia,National,Asia & Pacific,2013,2015,"1,228,275",AGRICULTURAL CENSUS THROUGH FAO,Data Collection,1,NA,NA,0,
IADB,IADB,IADB,Regional Latin America,Regional,LAC,2015,2017,"1,150,000",Development of Methodology for the Implementation of agricultural statistics,Capacity Development ,0,,NA,0,
A&P Plan,UK,FAO,"Afghanistan, Cambodia, Myanmar, Pakistan, Papua New Guinea",Regional,Asia & Pacific,2012,2016,"1,031,250",Global Strategy Technical Assistance - Group I ,Capacity Development,1,MTF /RAS/372/MUL,1,1,
"FAO, PRESS",Japan,FAO,"Philippines, Thailand",Regional,Asia & Pacific,2012,2016,"1,005,198",Strengthening Agricultural Market Information in Thailand and the Philippines - Regional Component,Capacity Development,1,MTF /RAS/359/JPN,0,0,
"FAO, PRESS",Italy,FAO,"Burkina Faso, Chad, Niger, Mali, Mauritania",Regional,Africa,2014,2016,"1,001,877",Strengthening the Capacity to Monitor Food Insecurity in the Sahel,Capacity Development ,1,GCP /GLO/540/ITA,NA,0,
"FAO, PRESS",Italy,FAO,"Burundi, Kenya, Uganda, Tanzania, Rwanda",Regional,Africa,2011,2015,"1,000,000","Strengthening capacity of selected member countries of the East African Community in agricultural statistics for food security - Burundi, Kenya, Uganda, Tanzania and Rwanda",Capacity Development,1,GTFS/RAF/465/ITA,NA,0,
"FAO, PRESS",BMGF,FAO,Ethiopia,National,Africa,2011,2015,"997,295",Support for the Improvement of the Agricultural Statistics in Ethiopia,Capacity Development,1,MTF /ETH/078/BMG,NA,0,
A&P Plan,UK,FAO,"Bangladesh, Indonesia, Lao PDR, Mongolia, Sri Lanka, Viet Nam",Regional,Asia & Pacific,2012,2016,"990,000",Global Strategy Technical Assistance - Group II,Capacity Development,1,MTF /RAS/372/MUL,1,1,divde by 6
FAO,Angola,FAO,Angola,National,Africa,2008,2016,"963,370","National Forestry Resources Assessment: Building Partnerships, National Capacity and Institutional Strengthening for Forest and Trees Resources Monitoring in Angola",Capacity Development,1,UTF /ANG/040/ANG,NA,0,
FAO,BMGF,FAO,India ,National,Asia & Pacific,2015,2016,"884,374",Strengthening Agricultural Market Information Systems in India using innovative methods and digital technology (Baby Project),Capacity Development,1,MTF /GLO/359/BMG BABY01,1,0,
FAO,EU,FAO,Lebanon,National,Near East,2014,2016,"870,329",Support to the MoA in strengthening and modernizing the Agricultural Statistics System,Capacity Development,1,GCP /LEB/023/EC,NA,0,
A&P Plan,UK,FAO,"Bhutan, China, Fiji, Georgia, Maldives, Samoa, Tonga",Regional,Asia & Pacific,2012,2016,"866,250",Global Strategy Technical Assistance - Group III,Capacity Development,1,MTF /RAS/372/MUL,1,1,divide by 7
FAO,EU,FAO,Global,Global,Global,2013,2017,"861,040",SIGMA: `Stimulating Innovation for Global Monitoring of Agriculture and its Impact on the Environment in support of GEOGLAM`,Capacity Development,0,GCP /GLO/449/EC,NA,NA,
FAO,BMGF,FAO,Bangladesh,National,Asia & Pacific,2014,2016,"846,935",Strengthening Agriculture Market Information Systems in Bangladesh,Capacity Development,1,MTF /GLO/359/BMG BABY02,1,0,
USDA,USA,USDA,Haiti,National,LAC,2012,2017,"819,264",Technical Services Under the Economic and Food Security Program to Revitalize and Modernize the Haitian Agricultural Sector,Capacity Development,1,NA,NA,0,
USDA,USAID,USDA,Armenia,National,CIS,2014,2017,"800,000",Support of the Agricultural Census of Armenia,Data Collection,1,NA,NA,0,
USDA,USA,USDA,Rwanda,National,Africa,2014,2017,"702,000",Supporting the Development of an Agricultural Information System in Rwanda,Information System ,1,NA,NA,0,
"FAO, PRESS",Romania,FAO,Moldova,National,CIS,2012,2016,"669,344",Assistance to the general agricultural census of Moldova,Data Collection,1,GCP /MOL/003/ROM,NA,0,
FAO,Pakistan,FAO,Pakistan,National,Asia & Pacific,2007,2016,"650,000",Technical Assistance to the SUPARCO Project on Monitoring of Crops through Satellite Technology,Capacity Development,1,UTF /PAK/101/PAK,NA,NA,
FAO,EU,FAO,Dominican Republic,National,LAC,2015,2015,"635,324",Asistencia tecnica para apoyar las actividades del  VIII Censo Nacional Agropecuario de la Rep?blica Dominicana,Data Collection,1,GCP /DOM/018/EC,NA,0,
FAO,BMGF,FAO,Nigeria,National,Africa,2014,2016,"608,600",Strengthening Agriculture Market Information Systems in Nigeria using innovative methods and digital technology (Baby Project),Capacity Development,1,MTF /GLO/359/BMG BABY03,1,0,
PRESS ,Japan,Japan,CARD countries,Regional,Africa,2013,2016,"584,080",PROJECT ON IMPROVING FOOD SECURITY INFORMATION IN AFRICA,Information System,0,NA,NA,1,
PRESS ,Japan,AFSIS,AFSIS Countries,Regional,Asia & Pacific,2013,2015,"577,372",PROJECT ON DEVELOPMENT OF MID-LONG TERM FOOD SUPPLY AND DEMAND FORECASTING IN ASEAN+3 REGION,Information System,0,NA,NA,0,
ADB,ADB,ADB,"Bhutan, Lao PDR, Maldives, Philippines, Viet Nam, ",Regional,Asia & Pacific,2011,2015,"500,000",Regional Policy & Advisory Technical Assistance (R-PATA 8029) in support of the GS (Research),Capacity Development,1,NA,NA,0,divide by 5
"WB, PRESS",WB,CISSTAT,Regional CIS,Regional,CIS,2015,2015,"500,000",Development of agricultural and rural statistics - ECASTAT,Capacity Development,0,NA,NA,0,
FAO,FAO,FAO,Somalia,National,Africa,2014,2016,"500,000",Jubbaland and Galmadug Fishermen and Fleet Registration,Information System,1,OSRO/SOM/418/CPF,NA,0,
FAO,FAO,FAO,Afghanistan,National,Asia & Pacific,2014,2016,"485,000",Harmonization and Finalization of Land Cover Mapping and Approaches` to Agricultural Monitoring,Capacity Development,1,TCP/AFG/3501,NA,NA,
"FAO, PRESS",FAO,FAO,Namibia,National,Africa,2013,2015,"478,000",Preparatory Assistance to the 2013/2014 Census of Agriculture,Data Collection,1,TCP/NAM/3402,NA,0,
"FAO, PRESS",FAO,FAO,Cabo Verde,National,Africa,2012,2015,"472,000",Assistance au renforcement du syste_me de statistiques agricoles,Capacity Development ,1,TCP/CVI/3402,NA,0,
FAO,FAO,FAO,Regional Africa,Regional,Africa,2014,2016,"456,000",Renforcement de collecte de donnâes des pöches en Afrique Centrale,Data Collection,0,TCP/SFC/3501,NA,NA,
"FAO, PRESS",FAO,FAO,"Bangladesh, Laos, Myanmar,  Nepal, Philippines, Timor-Leste ",Regional,Asia & Pacific,2013,2015,"450,000",Building statistical capacity for quality food security and nutrition information in support of better informed policies,Capacity Development,1,TCP/RAS/3409,NA,0,divide by 6
PRESS ,Netherlands,Netherlands,Burundi,National,Africa,2013,2015,"445,994",ENQUETE AGRICOLE (ENAB) ,Data Collection,1,NA,NA,0,
FAO,FAO,FAO,Cameroon,National,Africa,2014,2016,"443,000",Assistance preparatoire au Recensement General de  l`Agriculture et de l`Elevage (RGAE),Data Collection,1,TCP/CMR/3501,NA,0, 
FAO,Japan,FAO,"Philippines, Thailand",Regional,Asia & Pacific,2012,2015,"412,572",Strengthening Agricultural Market Information in Thailand and the Philippines - Global Component,Capacity Development,0,MTF /RAS/359/JPN BABY01,1,0,
FAO,FAO,FAO,Tunisia,National,Africa,2015,2017,"401,000",Assistance preparatoire au recensement de l`agriculture,Data Collection,1,TCP/TUN/3503,NA,0,"removed ""baby/TA; divide by 2 = 502,599 per country"
FAO,France,FAO,Global,Global,Global,2011,2015,"400,000",Dâveloppement d`une banque de donnâes sur les âcosyst_mes marins vulnârables en haute mer,Information System,0,GCP /GLO/309/FRA,NA,0,
FAO,FAO,FAO,Sudan,National,Africa,2012,2015,"398,000",Technical Support for Comprehensive Agricultural Census in the Sudan,Data Collection,1,TCP/SUD/3402,NA,0,
FAO,FAO,FAO,"Benin, Cote d`Ivoire, Ghana, Nigeria, Togo, Liberia  ",Regional,Africa,2015,2017,"393,000","Strengthening routine fisheries data collection in West Africa: Benin, Cote d`Ivoire, Ghana, Nigeria, Togo, Liberia and Fisheries Committee for West-Central Gulf of Guinea (FCWC)",Data Collection,1,TCP/RAF/3512,NA,NA,divde by 6
FAO,FAO,FAO,Comoros,National,Africa,2015,2017,"390,000",Assistance preparatoire au Recensement General de  l'Agriculture (RGA),Data Collection,1,TCP/COI/3503,NA,0,"removed ""baby""/TA in 18 countries"
"FAO, PRESS",FAO,FAO,Senegal,National,Africa,2014,2015,"377,000",Assistance preparatoire au Recensement National de l`Agriculture II,Data Collection,1,TCP/SEN/3404,NA,0,
"FAO, PRESS",FAO,FAO,Ghana,National,Africa,2014,2015,"372,000",Implementation of the preparatory phase of the Agricultural Census of Ghana,Data Collection,1,TCP/GHA/3403,NA,0,
FAO,EU,FAO,Chad,National,Africa,2014,2015,"366,847",Appui a l'amelioration de l'impact des interventions humanitaires dans le secteur de la securite alimentaire au Tchad par l'animation efficace du groupe sectoriel et le renforcement de capacites d'action des membres,Capacity Development,1,OSRO/CHD/403/EC,NA,0,
FAO,FAO,FAO,Cote d'Ivoire,National,Africa,2013,2015,"366,000",Assistance preparatoire au Recensement des Exploitants et des Exploitations Agricoles (REEA),Data Collection,1,TCP/IVC/3403,NA,0,
FAO,FAO,FAO,Philippines,National,Asia & Pacific,2012,2015,"366,000",Establishment of the Philippine Food Security Information System (PHIL-FSIS),Information System ,1,TCP/PHI/3401,NA,0,
FAO,FAO,FAO,Tanzania,National,Africa,2015,2017,"366,000",Support to the Implementation of Agriculture Statistics Strategic Plan: Improving the reliability of Crop forecasting data,Capacity Development,1,TCP/URT/3504,NA,0,
"FAO, PRESS",FAO,FAO,Bangladesh,National,Asia & Pacific,2012,2015,"354,000",Harmonisation and Dissemination of Unified Agricultural Production Statistics in Bangladesh,Capacity Development ,1,TCP/BGD/3401,NA,0,
FAO,FAO,FAO,Samoa,National,Asia & Pacific,2014,2016,"351,000",Improving the capacity for evidence-based policy monitoring and development,Capacity Development,1,TCP/SAM/3502,NA,0,
FAO,FAO,FAO,"Uzbekistan, Turkey, Turkmenistan, Tajikistan, Pakistan, Kazakhstan, Kyrgyz Republic, Iran, Azerbaijan, Afghanistan",Global,Global,2012,2015,"349,000",Support for the implementation and development of the CountrySTAT framework in the Economic Cooperation Organization (ECO) countries,Capacity Development,1,TCP/INT/3401,NA,0,divide by 10
FAO,FAO,FAO,Tonga,National,Asia & Pacific,2014,2015,"346,000",National Agriculture Census,Data Collection,1,TCP/TON/3403,NA,0,
FAO,FAO,FAO,Mali,National,Africa,2014,2016,"344,000",Projet d`appui a la preparation du Recensement General de l`Agriculture couple avec celui de l`Elevage au Mali,Data Collection,1,TCP/MLI/3501,NA,0,
FAO,FAO,FAO,Timor-Leste,National,Asia & Pacific,2012,2015,"331,000",Establishing a sustainable National Information and Early Warning System  (NIEWS) on Food Security in Timor-Leste,Information System ,1,TCP/TIM/3402,NA,0,
"FAO, PRESS",Turkey,FAO,"Turkey, Tajikistan, Kyrgyz Republic",Global,Global,2013,2016,"330,000",Strengthening national capacities for production and analysis of sex-disaggregated data through the implementation of the FAO Gender and Agriculture Framework (GASF),Capacity Development ,1,GCP /SEC/008/TUR,NA,0,divide by 3
"FAO, PRESS",FAO,FAO,Chad,National,Africa,2013,2015,"327,000",Assistance preparatoire au Recensement General de l`Agriculture (RGA) et au Recensement General de l`Elevage (RGE),Data Collection,1,TCP/CHD/3402,NA,0,
FAO,FAO,FAO,Angola,National,Africa,2014,2016,"278,000",Projet Pilote d`Assistance Preparatoire au Recensement General Agricole en Angola,Data Collection,1,TCP/ANG/3502,NA,0,
FAO,Ireland,FAO,Tanzania,National,Africa,2015,2017,"273,517",Support to the Implementation of ASSP: Improving district level data using Small Area Estimates,Capacity Development,1,GCP /URT/145/IRE,NA,0,
FAO,FAO,FAO,Peru,National,LAC,2013,2015,"264,000",Asistencia Tecnica para la Preparacion y Realizacion del IV Censo Nacional Agropecuario,Data Collection,1,TCP/PER/3402,NA,0,
FAO,UNECA,FAO,"Cameroon, Gambia, Zimbabwe",Regional,Africa,2015,2015,"260,000","Establishment of a monitoring system for food market prices in Cameroon, Gambia and Zimbabwe",Information System,1,UNJP/GLO/610/ECA,NA,0,added 04/03/16; divide by 3
FAO,FAO,FAO,Somalia,National,Africa,2014,2016,"250,000",Somaliland Fishermen and Fleet Registration,Information System,1,OSRO/SOM/417/CPF,NA,0,
FAO,FAO,FAO,Morocco,National,Africa,2015,2017,"245,000",Appui a la preparation du Recensement General de l'Agriculture (RGA),Data Collection,1,TCP/MOR/3503,NA,0,
FAO,FAO,FAO,Fiji,National,Asia & Pacific,2015,2017,"217,000",Development of Agricultural Information for Policy,Information System,1,TCP/FIJ/3503,NA,0,
FAO,FAO,FAO,Mauritius,National,Africa,2014,2015,"204,000",Support to Census of Agriculture in Mauritius,Data Collection,1,TCP/MAR/3403,NA,0,
PRESS,World Bank,FAO,Armenia,National,CIS,2013,2015,"200,000",Statistical Capacity Building and Implementation Support for Armenia's Pilot Agricultural Census ,Data Collection,1,,NA,0,
FAO,FAO,FAO,Guatemala,National,LAC,2015,2017,"188,000",Programa de apoyo a Guatemala para mejorar sus istemat estadistico agropecuario y de seguridad alimentaria,Information System,1,TCP/GUA/3505,NA,0,"divide by 3 = 110,000 per country"
"FAO, PRESS",Multilateral,FAO,Regional Latin America,Regional,LAC,2012,2017,"140,000",Latin America Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RLA/372/MUL,NA,1,
FAO,FAO,FAO,Tanzania,National,Africa,2015,2017,"123,000",Support to the Implementation of Agriculture Statistics Strategic Plan: Improving district level data using Small Area Estimates methods- ZANZIBAR,Capacity Development,1,TCP/URT/3505,NA,0,
FAO,FAO,FAO,Guyana,National,LAC,2013,2015,"121,000",Support for the enhancement of the National Agriculture Market Information System in Guyana,Capacity Development,1,TCP/GUY/3402,NA,0,"divide by 17 = 386,429.65 per country"
FAO,FAO,FAO,Colombia,National,LAC,2012,2015,"118,000","Asistencia Tecnica al Gobierno Nacional de Colombia para la transferencia de la metodologia, estimacion y medicion del Indicador de Subnutricion",Capacity Development,1,TCP/COL/3402,NA,0,
FAO,FAO,FAO,Angola,National,Africa,2015,2016,"116,830",Services d`assistance technique de la FAO pour la prâparation du Recensement Gânâral de l`Agriculture et de l`Elevage (RGAE),Data Collection,1,UTF /ANG/057/ANG,NA,0,
"FAO, PRESS",Multilateral,FAO,Regional Near East,Regional,Near East,2012,2017,"90,682",Near East Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RAB/372/MUL,NA,1,% Total 
"FAO, PRESS",Multilateral,FAO,Regional CIS,Regional,CIS,2012,2017,"88,000",CIS Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RER/372/MUL,NA,1,divide by 18
FAO,FAO,FAO,Bangladesh,National,Asia & Pacific,2015,2015,"76,000","Initial support to develop an Integrated Framework for Census (es) for Crop, Livestock and Fishery sector",Data Collection,1,TCP/BGD/3502 BABY02,1,0,
FAO,FAO,FAO,Equatorial Guinea,National,Africa,2015,2015,"70,188","Appui pour la preparation et le suivi du Recensement de la population et de l'habitat, du recensement de l'Agriculture et de l'enquöte population active, formation et emploi de Guinee Equatoriale",Data Collection,1,TCP/EQG/3501 BABY02,1,0,
FAO,FAO,FAO,Kiribati,National,Asia & Pacific,2013,2015,"69,284",Strengthened statistical capacity to collect and analyze food and agricultural  data in Kiribati,Capacity Development,1,TCP/KIR/3401 BABY01,1,0,
FAO,FAO,FAO,Rwanda,National,Africa,2015,2015,"68,681",Technical support to NISR for the establishment of a Food Balance Sheet system in Rwanda,Capacity Development,1,TCP/RWA/3501 BABY03,1,0,
FAO,FAO,FAO,Dominican Republic,National,LAC,2014,2015,"65,000",Asistencia tecnica para apoyar la realizacion de un Pre censo en el marco del VIII Censo Nacional Agropecuario,Data Collection,1,TCP/DOM/3501 BABY04,1,0,divide by 6
FAO,FAO,FAO,Kyrgyz Republic,National,CIS,2014,2015,"62,000",Assistance to the National Statistics Committee in preparing a project document for the Agricultural Census of 2016,Data Collection,1,TCP/KYR/3501 BABY01,1,0,
FAO,FAO,FAO,Timor-Leste,National,Asia & Pacific,2014,2015,"61,651",Initial Support to Planning of the First Agricultural Census,Data Collection,1,TCP/TIM/3502 BABY03,1,0,
FAO,FAO,FAO,Ecuador,National,LAC,2014,2015,"54,948",Apoyo al fortalecimiento del sistema nacional de estadisticas agropecuarias,Capacity Development ,1,TCP/ECU/3501 BABY03,1,0,
FAO,FAO,FAO,Madagascar,National,Africa,2014,2015,"54,466",Appui a la mise en ouvre et au developpement du syst_me CountrySTAT a Madagascar,Capacity Development,1,TCP/MAG/3502 BABY01,1,0,
FAO,FAO,FAO,El Salvador,National,LAC,2014,2015,"53,390",Fortalecimiento del sistema de seguimiento y evaluacion de Seguridad Alimentaria Nutricional (SAN) a traves del a poyo a la implementacion de la Escala Latinoamericana y Caribe_a de Seguridad Alimentaria (ELCSA) en El Salvador,Information System,1,TCP/ELS/3501 BABY02,1,0,
FAO,FAO,FAO,Pakistan,National,Asia & Pacific,2014,2015,"50,165",Capacity building of Food department in Azad Jammu and Kashmir (AJ&K) to improve its food stock information management system,Capacity Development,1,TCP/PAK/3501 BABY01,1,0,
FAO,FAO,FAO,Guyana,National,LAC,2015,2015,"49,889",Assistance to the Government of Guyana for the strengthening of its agricultural statistical information system for evidence based decision making,Capacity Development,1,TCP/GUY/3502 BABY01,1,0,
